Optimal Tours for MLIP solved instances of size: 20

Path for instance 0
 LocId | Prize |  Arrival  |   Leave   |     Location
  10   |   1   |   570     |   585     |     51 Kriewaldt Circuit, Higgins
  14   |   1   |588.54     |603.54     |     33a Mcmaster Street, Scullin
  11   |   1   |607.73     |622.73     |     5 Beaurepaire Crescent, Holt
   7   |   1   |625.13     |640.13     |     218 Osburn Drive, Macgregor
   8   |   1   |   645     |   660     |     34/68 Hardwick Crescent, Holt
  20   |   1   |676.34     |691.34     |     10/9 Keith Street, Scullin
  18   |   1   |694.42     |709.42     |     132 Pennefather Street, Higgins
   9   |   1   |714.58     |729.58     |     3 Want Place, Latham
  19   |   1   |   735     |   750     |     8/2 Adair Street, Scullin , ACT
  15   |   1   |760.64     |775.64     |     7 Eaves Street, Holt
   2   |   1   |   780     |   795     |     4/15 Wanliss Street, Latham
   5   |   1   |   810     |   825     |     17 Paterick Place, Holt
  17   |   1   |   855     |   870     |     15 Laycock Place, Holt

Path for instance 1
 LocId | Prize |  Arrival  |   Leave   |     Location
   7   |   1   |   540     |   555     |     15 Rowe Place, Phillip
  20   |   1   |   575     |   590     |     36/179 Melrose Drive, Lyons
   5   |   1   |   600     |   615     |     31/28 Ringrose Crescent, Isaacs - Yamba View
   3   |   1   |   630     |   645     |     63 Ainsworth Street, Mawson
  16   |   1   |647.66     |662.66     |     56/12 Albermarle Place, Phillip, ACT
  11   |   1   |666.68     |681.68     |     38/4 Wilkins Street, Mawson
  18   |   1   |699.36     |714.36     |     56a Longerenong Street, Farrer
  15   |   1   |   720     |   735     |     49a/12 Albermarle Place, Phillip
   4   |   1   |   750     |   765     |     49 William Wilkins Crescent, Isaacs
   2   |   1   |778.72     |793.72     |     30 Pindari Crescent, O'Malley
   1   |   1   |   795     |   810     |     32/10 Taronga Place, O'Malley
   8   |   1   |820.38     |835.38     |     19/21 Alsop Close, Phillip
  10   |   1   |   840     |   855     |     49 Akame Circuit, O'Malley
  17   |   1   |   870     |   885     |     70 Hurley Street, Mawson
  12   |   1   |   910     |   925     |     119/98 Corinna Street, Phillip
  14   |   1   |   930     |   945     |     4/15 Dalman Crescent, O'Malley

Path for instance 2
 LocId | Prize |  Arrival  |   Leave   |     Location
   7   |   1   |   540     |   555     |     15 Rowe Place, Phillip
   8   |   1   |   575     |   590     |     36/179 Melrose Drive, Lyons
   1   |   1   |   600     |   615     |     10/85 Port Jackson Circuit, Phillip - Mayfair Apartments
  16   |   1   |623.36     |638.36     |     1 Surprize Place, Phillip, ACT
  10   |   1   |642.34     |657.34     |     63 Ainsworth Street, Mawson
   3   |   1   |   660     |   675     |     56/12 Albermarle Place, Phillip, ACT
  12   |   1   |678.16     |693.16     |     129/116 Easty Street, Phillip
  19   |   1   |696.83     |711.83     |     51/17 Medley Street, Chifley
  20   |   1   |715.76     |730.76     |     127 Theodore Street, Curtin
   5   |   1   | 733.4     | 748.4     |     10/60 Callam Street, Phillip
   9   |   1   |   750     |   765     |     58/179 Melrose Drive, Lyons
   4   |   1   |   810     |   825     |     19/21 Alsop Close, Phillip
  18   |   1   |   840     |   855     |     38/5 Burnie Street, Lyons
  13   |   1   |   870     |   885     |     13 Hodgson Crescent, Pearce
  14   |   1   |896.01     |911.01     |     44/1 Eldridge Crescent, Garran
   6   |   1   |   915     |   930     |     119/98 Corinna Street, Phillip
  11   |   1   |   945     |   960     |     119/116 Easty Street, Phillip

Path for instance 3
 LocId | Prize |  Arrival  |   Leave   |     Location
  11   |   1   |   570     |   585     |     40 Mort Street, Braddon
  15   |   1   |   600     |   615     |     215/24 Lonsdale Street, Braddon
   4   |   1   |   630     |   645     |     51-53 Mort Street, Braddon - IQ Smart Apartments
   2   |   1   |646.84     |661.84     |     84/10 Ipima Street, Braddon
  19   |   1   |664.05     |679.05     |     52/19-25 Fawkner Street, Braddon
  17   |   1   |681.95     |696.95     |     2/6 Macleay Street, Turner
  20   |   1   |699.85     |714.85     |     11/11/72-74 Macleay Street, Turner
  14   |   1   |   735     |   750     |     10 Macleay Street, Turner
  13   |   1   |   755     |   770     |     45/77 Northbourne Avenue, Turner
  16   |   1   |   780     |   795     |     10/29 Forbes Street, Turner - Synergy
