Optimal Tours for FPT solved instances of size: 20

Path for instance 0
 LocId | Prize |  Arrival  |   Leave   |     Location
  10   |   1   |   570     |   585     |     51 Kriewaldt Circuit, Higgins
  14   |   1   |588.54     |603.54     |     33a Mcmaster Street, Scullin
  11   |   1   |607.73     |622.73     |     5 Beaurepaire Crescent, Holt
   1   |   1   |626.03     |641.03     |     20 Solomon Crescent, Latham
   3   |   1   |642.56     |657.56     |     6/1 Wanliss Street, Latham
   6   |   1   |   660     |   675     |     16 Real Place, Latham
  20   |   1   | 678.2     | 693.2     |     10/9 Keith Street, Scullin
  18   |   1   |696.28     |711.28     |     132 Pennefather Street, Higgins
   9   |   1   |716.44     |731.44     |     3 Want Place, Latham
  15   |   1   |737.86     |752.86     |     7 Eaves Street, Holt
   2   |   1   |757.22     |772.22     |     4/15 Wanliss Street, Latham
   5   |   1   |   810     |   825     |     17 Paterick Place, Holt
  17   |   1   |   855     |   870     |     15 Laycock Place, Holt

Path for instance 1
 LocId | Prize |  Arrival  |   Leave   |     Location
   7   |   1   |   540     |   555     |     15 Rowe Place, Phillip
  20   |   1   |   570     |   585     |     36/179 Melrose Drive, Lyons
   5   |   1   |   600     |   615     |     31/28 Ringrose Crescent, Isaacs - Yamba View
   3   |   1   |   630     |   645     |     63 Ainsworth Street, Mawson
  16   |   1   |647.66     |662.66     |     56/12 Albermarle Place, Phillip, ACT
  11   |   1   |666.68     |681.68     |     38/4 Wilkins Street, Mawson
  18   |   1   |685.73     |700.73     |     56a Longerenong Street, Farrer
  15   |   1   |   720     |   735     |     49a/12 Albermarle Place, Phillip
  19   |   1   |740.71     |755.71     |     54 Longerenong Street, Farrer
   2   |   1   |   765     |   780     |     30 Pindari Crescent, O'Malley
   1   |   1   |781.28     |796.28     |     32/10 Taronga Place, O'Malley
   8   |   1   |   810     |   825     |     19/21 Alsop Close, Phillip
  10   |   1   |829.62     |844.62     |     49 Akame Circuit, O'Malley
  17   |   1   |   870     |   885     |     70 Hurley Street, Mawson
  13   |   1   |   900     |   915     |     44/6 Wilkins Street, Mawson
  14   |   1   |920.49     |935.49     |     4/15 Dalman Crescent, O'Malley

Path for instance 2
 LocId | Prize |  Arrival  |   Leave   |     Location
   7   |   1   |   540     |   555     |     15 Rowe Place, Phillip
   8   |   1   |   570     |   585     |     36/179 Melrose Drive, Lyons
  15   |   1   |   600     |   615     |     66a Collings Street, Pearce
  16   |   1   |618.92     |633.92     |     1 Surprize Place, Phillip, ACT
  10   |   1   | 637.9     | 652.9     |     63 Ainsworth Street, Mawson
   3   |   1   |655.56     |670.56     |     56/12 Albermarle Place, Phillip, ACT
  12   |   1   |673.72     |688.72     |     129/116 Easty Street, Phillip
  19   |   1   |692.39     |707.39     |     51/17 Medley Street, Chifley
  20   |   1   | 710.6     | 725.6     |     127 Theodore Street, Curtin
   5   |   1   |   730     |   745     |     10/60 Callam Street, Phillip
   9   |   1   | 746.6     | 761.6     |     58/179 Melrose Drive, Lyons
   4   |   1   |   810     |   825     |     19/21 Alsop Close, Phillip
  18   |   1   |828.14     |843.14     |     38/5 Burnie Street, Lyons
  13   |   1   |   870     |   885     |     13 Hodgson Crescent, Pearce
  14   |   1   |890.27     |905.27     |     44/1 Eldridge Crescent, Garran
   6   |   1   |   910     |   925     |     119/98 Corinna Street, Phillip
  11   |   1   |926.35     |941.35     |     119/116 Easty Street, Phillip

Path for instance 3
 LocId | Prize |  Arrival  |   Leave   |     Location
  11   |   1   |   570     |   585     |     40 Mort Street, Braddon
  15   |   1   |   600     |   615     |     215/24 Lonsdale Street, Braddon
   4   |   1   |   630     |   645     |     51-53 Mort Street, Braddon - IQ Smart Apartments
   9   |   1   |646.61     |661.61     |     521/74 Northbourne Avenue, Braddon
   8   |   1   |661.61     |676.61     |     403/74 Northbourne Avenue, Braddon
  17   |   1   |678.36     |693.36     |     2/6 Macleay Street, Turner
  20   |   1   |696.26     |711.26     |     11/11/72-74 Macleay Street, Turner
  14   |   1   |   720     |   735     |     10 Macleay Street, Turner
  13   |   1   |   740     |   755     |     45/77 Northbourne Avenue, Turner
   1   |   1   |   780     |   795     |     20/10 Ipma Street, Braddon
   5   |   1   | 796.4     | 811.4     |     605/51 Mort Street, Braddon
